Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2647.29543509952/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x8e07bb32f0535be0f0ef939f46d03ff4eb84ffb97cc2ada8609febddc0d4b5b5,19139119,1706857535,2/2/24 7:05,0xade3d72485e569209de8b708e75b97c927c83eac,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.105263158,0,278.6626774,0.003815492,10.1007346,2307.85,,,Fill Offer ETH
0x9a9cac8c8f763d388e066c54613b8686d4e438c1b75fcf81e7769d6e7fe50d05,19139123,1706857583,2/2/24 7:06,0x8bcb97491548aab1aabe39f5fa7d37853b1a39ae,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.9,0,5029.861327,0.004287072,11.34914643,2307.85,,,Fill Offer ETH
0x27c7d15bffdd55de3b3ca010573acb49c3682e89906b88d59cd8ade83026b8b3,19139144,1706857859,2/2/24 7:10,0xf787a96871bf9a9e77a613262c2020b0ee4ecce1,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.094122807,0,249.1708774,0.003397601,8.994453005,2307.85,,,Fill Offer ETH
0x1c0d8c8487ac9fcf1fd1a80de344690958fbda55dfe9ece7470072f8f47423b2,19139173,1706858207,2/2/24 7:16,0xade3d72485e569209de8b708e75b97c927c83eac,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.039473684,0,104.498504,0.002836745,7.509700982,2307.85,,,Fill Offer ETH
0x19cf58def9f8e2eca08058a25a4b684a7e210b1a064fdbbdf8d7857f524c5054,19139433,1706861399,2/2/24 8:09,0xde6d41a77fa450245e6f699bfafd051ac86451d5,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.5,0,3970.943153,0.004366215,11.55866152,2307.85,,,New Offer ETH
0xc31f75248a65eade6ec414eb26986a94cf1cd4d06907eec3b3cd5b29a9cb8a52,19139446,1706861555,2/2/24 8:12,0xe8d5ee67a69394e721cdf2481f633c37ac70ab91,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,2,0,5294.59087,0.004111917,10.88545931,2307.85,,,New Offer ETH
0x16e05cbfb0f7ff21c9c37ccab5f095721c8181e506f40908ee9d00fd37b4e763,19139475,1706861903,2/2/24 8:18,0x6cf1314e99fb1f6c96de9139232a28574f018ac2,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.100350877,0,265.6584191,0.003410321,9.028126128,2307.85,,,Fill Offer ETH
0x2ee41fa6cb6766936e62abe54d22ada37640fb0f68cc2703f5239d02e5702687,19139549,1706862815,2/2/24 8:33,0x6cf1314e99fb1f6c96de9139232a28574f018ac2,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.02,0,52.9459087,0.004084082,10.81177116,2307.85,,,New Offer ETH
0xf55fe8c503e0e996df2aa2c5014496a461c46706f9871226aa493a0f52d45c36,19139579,1706863175,2/2/24 8:39,0x6ac1779ae2f3bfd10f02b2505f8a5ccc5a98c757,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.010869565,0,28.77495038,0.00364645,9.653231506,2307.85,,,Fill Offer ETH
0x6ce2d44350377374d7d2c385a325b4900cff5df7a6a0b520ca2821fdcb4cb8c0,19139743,1706865167,2/2/24 9:12,0x415306782e11e561727ea88ceb5aa13dc8283844,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,2.58,0,6830.022223,0.003724249,9.859187796,2307.85,,,New Offer ETH
